2019-07-23 03:54:45,"b""RT @msdfansofficial: .@msdhoni's bundle of Joy!\xf0\x9f\xa4\xa9\xe2\x9d\xa4\n\n#Throwback #MSDhoni #Dhoni https://t.co/RVwptjsRlr"""
2019-07-23 03:54:17,"b'RT @msdfansofficial: Recent Click of MS Dhoni with a fan at JSCA, Ranchi. \n\n#MSDhoni #Dhoni #TeamIndia https://t.co/xNIuqF9Evq'"
2019-07-23 03:54:12,"b""RT @msdfansofficial: .@msdhoni's bundle of Joy!\xf0\x9f\xa4\xa9\xe2\x9d\xa4\n\n#Throwback #MSDhoni #Dhoni https://t.co/RVwptjsRlr"""
2019-07-23 03:53:58,"b""Mohammad Azharuddin Has A Last Word On #Dhoni 's Future\n\nhttps://t.co/Yg0VsnnoGQ\n\n#DhoniForever #TeamIndia https://t.co/Yqi0g3bzlG"""
2019-07-23 03:53:54,"b"".@msdhoni's bundle of Joy!\xf0\x9f\xa4\xa9\xe2\x9d\xa4\n\n#Throwback #MSDhoni #Dhoni https://t.co/RVwptjsRlr"""
2019-07-23 03:53:17,"b""RT @behindwoods: Watch - '#Thala' #Dhoni's MASS entry at Mumbai!!!\nhttps://t.co/cxV3oXTE9Q\n#IPL2019 #Whistlepodu #yellowlove #CSK #MumbaiIn\xe2\x80\xa6"""
2019-07-23 03:49:08,"b""RT @msdfansofficial: .@msdhoni's request to train with the Indian Army has been approved by General Bipin Rawat. He would train with the Pa\xe2\x80\xa6"""
2019-07-23 03:45:08,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:41:59,b'LT Colonel On The Mission \xf0\x9f\x95\xb4\xef\xb8\x8f  #MSDhoni #Dhoni https://t.co/BxwVyjmQEX'
2019-07-23 03:33:27,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:32:52,b'RT @msdfansofficial: .@msdhoni spotted playing tennis at JSCA Stadium earlier today!\xe2\x9c\x8c\n\n#Dhoni #MSDHONI #Ranchi https://t.co/Q5D7JcxwXz'
2019-07-23 03:30:30,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:30:19,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:27:58,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:25:08,b'RT @trollinfinity_: Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration @msdhoni #\xe2\x80\xa6'
2019-07-23 03:21:58,b'MS #Dhoni will not be available for the selection of #IndvsWI tour... https://t.co/H39MvkCZ1Z'
2019-07-23 03:21:21,b'Thala #msdhoni is a @Suriya_offl fan\xf0\x9f\x98\x8e#HappyBirthdaySURIYA #Kaappaan #Suriya #Suriya40 #suriyabdaycelebration\xe2\x80\xa6 https://t.co/jhtmqRgFsG'
2019-07-23 03:19:48,b'RT @dhoniraina_team: Good Morning Everyone \xe2\x9d\xa4\xef\xb8\x8f \n#MSDhoni #Dhoni https://t.co/pDSAbDkKep'
2019-07-23 03:17:46,b'RT @Suriya_TFC: Thanks a lot Thala #Dhoni Fans for your Support and Love \xf0\x9f\x98\x8e\n#HBDSuriyafromDhoniFans \n#HappyBirthdaySuriya https://t.co/IMvzm\xe2\x80\xa6'
2019-07-23 03:15:05,b'RT @Suriya_TFC: Thanks a lot Thala #Dhoni Fans for your Support and Love \xf0\x9f\x98\x8e\n#HBDSuriyafromDhoniFans \n#HappyBirthdaySuriya https://t.co/IMvzm\xe2\x80\xa6'
2019-07-23 03:14:24,b'Is Russian Faceapp Safe of Harmful ?? Does it steals your data | Explain... https://t.co/eg1nxA237c via @YouTube\xe2\x80\xa6 https://t.co/SggpzIxyKm'
2019-07-23 03:12:21,"b'RT @msdfansofficial: Recent Click of MS Dhoni with a fan at JSCA, Ranchi. \n\n#MSDhoni #Dhoni #TeamIndia https://t.co/xNIuqF9Evq'"
2019-07-23 03:12:10,b'RT @msdfansofficial: Which one is your Favorite? \n\nLike - Black \xf0\x9f\x96\xa4\nComment - Green \xf0\x9f\x92\x9a\nRetweet - Both \xe2\x9d\xa4\n\n#Dhoni #MSDhoni #TeamIndia https://t.\xe2\x80\xa6'
2019-07-23 03:10:38,"b'RT @COOLCRAFTS1: Make this origami doll with your baby. Watch full video on Below Link.\nhttps://t.co/Gk7Os9v6BQ\nPlease like, share and subs\xe2\x80\xa6'"
2019-07-23 03:10:38,"b""RT @COOLCRAFTS1: Hello everyone,\nTry making this at home with your little one's.\nWATCH FULL VIDEO ON BELOW LINK https://t.co/aGTpoN4ZXO\nDON\xe2\x80\xa6"""
2019-07-23 03:10:04,b'RT @msdfansofficial: Dream of every single @msdhoni fans!\xf0\x9f\x92\x99\n\n#MSDhoni #Dhoni #TeamIndia https://t.co/mmbaozYBrH'
2019-07-23 03:06:18,b'RT @msdfansofficial: Mahi with a fan at the gym\xf0\x9f\x98\x8e\n\n#MSDhoni #Dhoni #Ranchi https://t.co/dxUzMLLsvr'
2019-07-23 02:58:30,b'Young Talent  Rituraj ...May be some day he play for India\n\nfollow @TentaranSports for more updates .\n.\n#Virat\xe2\x80\xa6 https://t.co/hloA6sx76y'
2019-07-23 02:57:40,b'RT @msdfansofficial: .@msdhoni spotted playing tennis at JSCA Stadium earlier today!\xe2\x9c\x8c\n\n#Dhoni #MSDHONI #Ranchi https://t.co/Q5D7JcxwXz'
